,Unnamed: 0,title,publication_year,title_link,authors,author_href,content
0,0,An Extended Plant Circadian Clock Model for Characterising Flowering Time under Different Light Quality Conditions,['9 Jan 2023'],https://pureportal.coventry.ac.uk/en/publications/an-extended-plant-circadian-clock-model-for-characterising-flower,"['Pay, M. L.', 'Christensen, J.', 'He, F.', 'Roden, L.']","['https://pureportal.coventry.ac.uk/en/persons/miao-lin-pay', 'https://pureportal.coventry.ac.uk/en/persons/jesper-christensen', 'https://pureportal.coventry.ac.uk/en/persons/fei-he', 'https://pureportal.coventry.ac.uk/en/persons/laura-roden']","Speed breeding has recently emerged as an innovative agricultural technology solution to meet the ever-increasing global food demand. In speed breeding, typically various light qualities (e.g., colour, duration, intensity) are modified to manipulate the circadian clock of the plants, which in turn alter the plant growth and enhance the productivity such as by reducing the flowering time. In order to develop a comprehensive framework describing plant growth, a model incorporating the effect of various light qualities on plant growth needs to be established. Recently a mathematical model of the plant circadian clock for Arabidopsis thaliana has been developed to characterise the hypocotyl growth subject to multiple light quality properties. This is a first step towards developing a more comprehensive model that links light quality, plant circadian clock and plant growth. In this work, we extend the model by adding the effect of various light qualities on the flowering time. The proposed model can capture the flowering time behaviours of plant when subject to red, blue, and mixed lights and can be used to guide experiment of light properties manipulation for optimised plant growth via hypocotyl growth and flowering time. "
1,1,Challenges and prospects of climate change impact assessment on mangrove environments through mathematical models,['25 Feb 2023'],https://pureportal.coventry.ac.uk/en/publications/challenges-and-prospects-of-climate-change-impact-assessment-on-m,"['Fanous, M.', 'Eden, J.', 'Daneshkhah, A.']","['https://pureportal.coventry.ac.uk/en/persons/majdi-fanous', 'https://pureportal.coventry.ac.uk/en/persons/jonathan-eden', 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']","The impacts of climate change, especially sea-level rise, are an increasing threat to the world’s coastal regions. Following recommendations made by the United Nations about the preservation of mangrove environments, particularly given their potential for effective natural defence against wave-driven hazards, a series of experiments have been conducted to quantify the ability of mangroves to counter climate change impacts. To date, these experiments have been limited by computational cost and inability to model multiple scenarios. With improved data quality and availability, machine learning has enormous potential to supplement, or even replace, existing numerical methods. This article presents both an outline of the importance of protecting mangrove environments and a review of methods currently used to quantify the capacity of mangroves to adapt to climate change impacts. In view of the limitations of existing numerical methods, the article also discusses the potential of machine learning as an efficient and effective alternative."
2,2,Diabetic Retinopathy Detection Using Transfer and Reinforcement Learning with Effective Image Preprocessing and Data Augmentation Techniques,['7 Feb 2023'],https://pureportal.coventry.ac.uk/en/publications/diabetic-retinopathy-detection-using-transfer-and-reinforcement-l,"['Tariq, M.', 'Palade, V.', 'Ma, Y.']","['https://pureportal.coventry.ac.uk/en/persons/maria-tariq', 'https://pureportal.coventry.ac.uk/en/persons/vasile-palade', 'https://pureportal.coventry.ac.uk/en/persons/yingliang-ma']","Diabetic retinopathy is the consequence of advanced stages of diabetes, which can ultimately lead to permanent blindness. An early detection of diabetic retinopathy is extremely important to avoid blindness and to recover from it as soon as possible. This chapter discusses the application of recent deep and transfer learning models for medical image analysis, with the focus on diabetic retinopathy detection. The chapter presents an extensive discussion on the publicly available datasets with diabetic retinopathy images, and the Kaggle dataset is used for training and testing of our proposed model. The main challenges to handle noisy and not large enough datasets are discussed in this chapter as well, where image preprocessing techniques and data augmentation play a significant role. An extensive overview of recent data augmentation techniques is also given to tackle the problem of imbalanced nature of diabetic retinopathy datasets. The proposed model integrates deep learning and reinforcement learning to perform detection and imbalanced classification on the Kaggle dataset."
3,3,Entropy‐based lamarckian quantum‐behaved particle swarm optimization for flexible ligand docking,['Mar 2023'],https://pureportal.coventry.ac.uk/en/publications/entropybased-lamarckian-quantumbehaved-particle-swarm-optimizatio,"['Palade, V.']",['https://pureportal.coventry.ac.uk/en/persons/vasile-palade'],"AutoDock is a widely used software for flexible ligand docking problems since it is open source and easy to be implemented. In this paper, a novel hybrid algorithm is proposed and applied in the docking environment of AutoDock version 4.2.6 in order to enhance the accuracy and the efficiency for dockings with flexible ligands. This search algorithm, called entropy-based Lamarckian quantum-behaved particle swarm optimization (ELQPSO), is a combination of the QPSO with an entropy-based update strategy and the Solis and Wet local search (SWLS) method. By using the PDBbind core set v.2016, the ELQPSO is compared with the Lamarckian genetic algorithm (LGA), Lamarckian particle swarm optimization (LPSO) and Lamarckian QPSO (LQPSO). The experimental results reveal that the corresponding docking program of ELQPSO, named as EQDOCK in this paper, has a competitive performance in dealing with the protein-ligand docking problems. Moreover, for the test cases with different number of torsions, the EQDOCK outperforms the other three docking programs in finding docking conformations with small root mean squared deviation (RMSD) values in most cases. In particular, it has an advantage of solving highly flexible ligand docking problems over the others."
4,4,Extracting the Evolutionary Backbone of Scientific Domains: The Semantic Main Path Network Approach Based on Citation Context Analysis,['15 Feb 2023'],https://pureportal.coventry.ac.uk/en/publications/extracting-the-evolutionary-backbone-of-scientific-domains-the-se,"['Jiang, X.']",['https://pureportal.coventry.ac.uk/en/persons/xiaorui-jiang'],"Main path analysis is a popular method for extracting the scientific backbone from the citation network of a research domain. Existing approaches ignored the semantic relationships between the citing and cited publications, resulting in several adverse issues, in terms of coherence of main paths and coverage of significant studies. This paper advocated the semantic main path analysis approach to alleviate these issues based on citation function analysis. A wide variety of SciBERT-based deep learning models were designed for identifying citation functions. Semantic citation networks were built by either including important citations, e.g., extension, motivation, usage and similarity, or excluding incidental citations like background and future work. Semantic main path network was built by merging the top-K main paths extracted from various time slices of semantic citation network. In addition, this study proposed a three-way framework for quantitative evaluation of main path analysis results. Both qualitative and quantitative analysis on three research areas of computational linguistics demonstrated that, compared to semantics-agnostic counterparts, different types of semantic main path networks provide complementary views scientific knowledge flows. Combining them together, we can obtain a more precise and comprehensive picture of domain evolution and uncover more coherent development pathways between scientific ideas. "
5,5,Gene Regulatory Network Inference through Link Prediction using Graph Neural Network,['19 Jan 2023'],https://pureportal.coventry.ac.uk/en/publications/gene-regulatory-network-inference-through-link-prediction-using-g,"['Ganeshamoorthy, S.', 'Roden, L.', 'Klepl, D.', 'He, F.']","['https://pureportal.coventry.ac.uk/en/persons/sivasharmini-ganeshamoorthy', 'https://pureportal.coventry.ac.uk/en/persons/laura-roden', 'https://pureportal.coventry.ac.uk/en/persons/dominik-klepl', 'https://pureportal.coventry.ac.uk/en/persons/fei-he']","Gene Regulatory Networks (GRNs) depict the causal regulatory interactions between transcription factors (TFs) and their target genes [2], where TFs are proteins that regulate gene transcription. GRN plays a vital role in explaining gene function, which helps to identify and prioritize the candidate genes for functional analysis [3]. Currently, high-dimensional transcriptome datasets are produced from high-throughput sequencing techniques, such as microarray and RNA-Seq. These techniques can capture the differences in the expression of thousands of genes at once. Through these wet-lab experiments, studying the interconnections among a large number of genes or TFs at a network level is challenging [4]. Therefore, one of the important topics in computational biology is the inference of GRNs from high-dimensional gene expression data through statistical and machine learning approaches [2]."
6,6,Hydro-morphodynamic modelling of mangroves imposed by tidal waves using finite element discontinuous Galerkin method,['28 Mar 2023'],https://pureportal.coventry.ac.uk/en/publications/hydro-morphodynamic-modelling-of-mangroves-imposed-by-tidal-waves,"['Fanous, M.', 'Daneshkhah, A.', 'Eden, J. M.', 'Palade, V.']","['https://pureportal.coventry.ac.uk/en/persons/majdi-fanous', 'https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah', 'https://pureportal.coventry.ac.uk/en/persons/jonathan-eden', 'https://pureportal.coventry.ac.uk/en/persons/vasile-palade']","Modelling the hydro-morphodynamics of mangrove environments is key for implementing successful protection and restoration projects in a climatically vulnerable region. Nevertheless, simulating such dynamics is faced with computational and time complexities, given the nonlinear and complex nature of the problem, which could become a bottleneck for large-scale applications. This study investigates the effect of mangrove environments on the hydro-morphodynamics of its region. A depth-averaged model was built using a novel finite element model for simulating coastal models, within Thetis. The Sundarbans, the largest mangrove forest in the world located between India and Bangladesh, is taken as a case study. The Sundarbans is regularly subjected to tropical cyclones, the impacts of which endanger the lives of the region’s four million people. This is a first-time application of a coupled hydro-morphodyamic model using discontinuous Galerkin finite element discretisation for modelling mangrove environments in a real-world application. A wetting drying scheme was implemented in the models in order to avoid numerical instabilities. The effect of mangrove environments is demonstrated ,by imposing a periodic tidal boundary, conditions using TPXO tidal solver, using experiments with and without mangroves. The model is validated against the results of another study on the same region and tidal gauge data. Mangrove environments are able to decrease water elevations and velocities by more than 97%, and prevent almost any sediment erosion when compared with the experiment with no mangroves."
7,7,Kernel-based Nonlinear Manifold Learning for EEG Functional Connectivity Analysis with Application to Alzheimer's Disease,['19 Jan 2023'],https://pureportal.coventry.ac.uk/en/publications/kernel-based-nonlinear-manifold-learning-for-eeg-functional-conne,"['Gunawardena, S. R. A. S.', 'He, F.']","['https://pureportal.coventry.ac.uk/en/persons/shenal-rajintha-alexander-samarathunge-gunawardena', 'https://pureportal.coventry.ac.uk/en/persons/fei-he']","Dynamical, causal and cross-frequency coupling analysis using the EEG has received significant interest for the analysis and diagnosis of neurological disorders [1]–[3]. Due to the high computational requirements needed for some of these methods, EEG channel selection is crucial [4]. Functional connectivity (FC) between EEG channels is often used for channel selection and connectivity analysis [4, S, 6]. Ideally, in the case of selecting channels for dynamical and causal analysis, FC methods should be able to account for linear and nonlinear spatial and temporal interactions between EEG channels. In neuroscience, FC is quantified using different measures of (dis) similarity to assess the statistical dependence between two signals [5]. However, the interpretation of FC measures can differ significantly from one measure to another[5, 7]. In the early diagnosis of AD, [7] showed correlations among various (dis)similarity measures, and therefore these measures can be grouped. Thus, one from each is sufficient to extract information from the data [7]. Therefore, the development of a generic measure of (dis)similarity is important in FC analysis."
8,8,Not Born of Woman: Gendered Robots,['26 Feb 2023'],https://pureportal.coventry.ac.uk/en/publications/not-born-of-woman-gendered-robots,"['Shah, H.']",['https://pureportal.coventry.ac.uk/en/persons/huma-shah'],"This chapter posits that gender, while being messy and non-binary, is a salient consideration in the development of virtual and embodied robots to avoid replicating stereotypical representations of men and women's roles and occupations in our future artificial work colleagues, and companions. Some questions are posed for robot developers with early responses from researchers working in the field."
9,9,PoseNormNet: Identity-preserved Posture Normalization of 3D Body Scans in Arbitrary Postures,['16 Feb 2023'],https://pureportal.coventry.ac.uk/en/publications/posenormnet-identity-preserved-posture-normalization-of-3d-body-s,"['Hu, P.']",['https://pureportal.coventry.ac.uk/en/persons/pengpeng-hu'],"3D human models accurately represent the shape of the subjects, which is key to many human-centric industrial applications, including fashion design, body biometrics extraction, and computer animation. These tasks usually require a high-fidelity human body mesh in a canonical posture (e.g., ‘A’ pose or ‘T’ pose). Although 3D scanning technology is fast and popular for acquiring the subject's body shape, automatically normalizing the posture of scanned bodies is still under-researched. Existing methods highly rely on skeleton-driven animation technologies. However, these methods require carefully-designed skeleton and skin weights, which is time-consuming and fails when the initial posture is complicated. In this work, a novel deep learning-based approach, dubbed PoseNormNet, is proposed to automatically normalize the postures of scanned bodies. The proposed algorithm provides strong operability since it does not require any rigging priors and works well for subjects in arbitrary postures. Extensive experimental results on both synthetic and real-world datasets demonstrate that the proposed method achieves state-of-the-art performance in both objective and subjective terms."
