,Unnamed: 0.1,Unnamed: 0,title,title_link,content
0,0.0,0.0,"Climate Change - The FactsDavid Attenborough explores the science of, and potential solutions to, climate change.",https://www.bbc.co.uk/programmes/m00049b1,"
After one of the hottest years on record, Sir David Attenborough looks at the science of climate change and potential solutions to this global threat.

Show more

"
1,1.0,1.0,The People v Climate ChangeMeet the ordinary Brits who will help decide how Britain solves the climate crisis.,https://www.bbc.co.uk/programmes/p097sbzc,"
Meet the 108 ordinary Brits who Sir David Attenborough says we should listen to. This warm and honest documentary reveals how everyday people feel about the climate crisis.

Show more

"
2,2.0,2.0,The Climate Connection ArchiveExploring a key question in the story of action on climate change: what's stopping us?,https://www.bbc.co.uk/programmes/p0053hjw,"
The Climate Connection explores a key question in the story of action on climate change: what's stopping us? Produced in association with The Open University.

Show more

"
3,3.0,3.0,In Denial - Climate on the CouchJolyon Jenkins investigates the psychology of climate change - why aren't we more worried?,https://www.bbc.co.uk/programmes/b00y92mn,"
If climate change is as serious as the scientists say, why are most of us not that bothered? Jolyon Jenkins asks if greens could use better psychology to sharpen their message.

Show more

"
4,4.0,4.0,"Changing ClimateRoger Harrabin examines the science, politics and solutions of climate.",https://www.bbc.co.uk/programmes/b06qspbf,"
Roger Harrabin examines the science, politics and solutions of climate.
"
5,5.0,5.0,Tackling Climate ChangeJustin Rowlatt puts global climate questions to UN secretary-general Antonio Guterres.,https://www.bbc.co.uk/programmes/m001f6bd,"
Justin Rowlatt puts your global climate questions to UN secretary-general Antonio Guterres.
"
6,6.0,6.0,Tackling Climate ChangeJustin Rowlatt puts your Global climate questions to UN Secretary-General Antonio Guterres,https://www.bbc.co.uk/programmes/l00567ch,Justin Rowlatt puts your Global climate questions to UN Secretary-General Antonio Guterres
7,7.0,7.0,The Empire of ClimateProfessor David Livingstone argues for a revision of how we view the climate,https://www.bbc.co.uk/programmes/b00wfhgg,"
Professor David Livingstone argues that climate is much more than the weather outside our window
"
8,8.0,8.0,Uncertain ClimateRoger Harrabin investigates whether the arguments over climate change can ever be won,https://www.bbc.co.uk/programmes/b00tmjb8,"
BBC Environmental Analyst Roger Harrabin investigates whether the arguments surrounding climate change can ever be won
"
9,9.0,9.0,Climate Change and MeFive scientists describe how their eyes were opened to global climate change.,https://www.bbc.co.uk/programmes/b0b4kf6l,"
Five eminent scientists describe the dramatic changes to the natural world that they have witnessed on the ground and tell how their eyes were opened to global climate change.
"
10,10.0,10.0,Can Sport Survive Climate Change?We speak to the athletes whose sports are being impacted by climate change.,https://www.bbc.co.uk/programmes/p0cqfyl3,"
As the Commonwealth Games 2022 kicks off, BBC Three speaks speak to the athletes whose sports are being impacted by climate change.

Show more

"
11,11.0,11.0,Bitesize GCSE Biology: Series 6: Ecology: 7. Climate changeHow climate change affects organisms and ecosystems.,https://www.bbc.co.uk/programmes/p0fcvp14,"
Dr Alex Lathbridge breaks down the key facts about climate change, what the greenhouse effect is and how climate change affects ecosystems.

Show more

"
12,12.0,12.0,Global News Podcast: World's top court to weigh in on climate changeLow-lying Vanuatu pushed for legal opinion that could be cited in climate court cases,https://www.bbc.co.uk/programmes/p0fcs8n4,"
Low-lying Vanuatu has pushed for a legal opinion that could be cited in climate court cases. Also: Pope Francis has been taken to hospital with a respiratory infection, and Shaun the Sheep gets a hero's welcome following his trip around the moon.
"
13,13.0,13.0,Climate change: World's top court to weigh inLow-lying Vanuatu pushed for a legal opinion that could be cited in climate court cases.,https://www.bbc.co.uk/news/science-environment-65097831,"The world's top court will for the first time advise on countries' legal obligations to fight climate change, following a UN resolution on Wednesday."
14,14.0,14.0,Ankur Desai: Climate anxietyAnkur looks at how climate change is causing climate anxiety.,https://www.bbc.co.uk/programmes/m001k5rp,"
Ankur Desai talks about how far behind the UK is on climate change, and after the death of Paul O'Grady, Ankur chats to Mahatma Candi about the impact Lily Savage had on Asian Drag.

Show more

"
15,15.0,15.0,Swiss court case ties human rights to climate changeThousands of women say the country's climate change policy damages their right to life and health.,https://www.bbc.co.uk/news/world-europe-65107800,"More than 2,000 women are taking the Swiss government to court claiming its policy on climate change is violating their right to life and health. "
16,16.0,16.0,"The Climate QuestionWhy we find it so hard to save our own planet, and how we might change that",https://www.bbc.co.uk/programmes/w13xtvb6,"
Why we find it so hard to save our own planet, and how we might change that.

Show more

"
17,17.0,17.0,Climate Change: The Trump CardCan the world control global warming? Roger Harrabin investigates.,https://www.bbc.co.uk/programmes/b086s95f,"
Documentary. A year on from the historic Paris climate change talks, Roger Harrabin asks if the world can really limit the global temperature rise to under 2 degrees C.

Show more

"
18,18.0,18.0,"Climate change: England not ready for impactThe government's advisers urge a ""step change"" in climate adaptation policy to avoid an increased risk to life.",https://www.bbc.co.uk/news/science-environment-65099546,"England is not ready for the unavoidable impacts of global warming, the government's advisers on climate change say in a new report."
19,19.0,19.0,Carbon capture: What is it and how does it fight climate change?The government has announced the location of the UK's first carbon capture sites.,https://www.bbc.co.uk/news/science-environment-64723497,The UK government has announced that the first sites in the UK to capture greenhouse gases will be in Teesside.
20,20.0,20.0,The Climate Tipping PointsJustin Rowlatt discovers how global warming may trigger irreversible changes to our planet,https://www.bbc.co.uk/programmes/m00180cc,"
Justin Rowlatt discovers how global warming may trigger irreversible changes to our planet.
"
21,21.0,21.0,Reporting from the Climate FrontlinesBBC's Science Editor David Shukman has been a witness on the frontlines of global warming.,https://www.bbc.co.uk/programmes/m0011tnv,"
As the world reels from fires, floods and heatwaves, researchers are more certain than ever that human activity is making them worse.

Show more

"
22,22.0,22.0,The Great Game in a Cold Climate: A Tale of Two CitiesAdam Fowler visits Northern Canada to discover some potential benefits of global warming.,https://www.bbc.co.uk/programmes/b008khxl,"
A Tale of Two Cities: Adam Fowler visits the town of Churchill in Northern Canada to discover the potential benefits of global warming for this tiny community on the Hudson Bay.
"
23,23.0,23.0,Climate change: Is the UK on track to meet its targets?The government has announced its revised net zero strategy.,https://www.bbc.co.uk/news/58160547,The UK has pledged to reduce its greenhouse-gas emissions to net zero by 2050. Net zero means a country takes as much of these climate-changing gases - such as carbon dioxide - out of the atmosphere as it puts in.
24,24.0,24.0,"Climate change threatening 'high-performance sport's existence' says UK Sport chiefClimate change is threatening ""high-performance sport's existence"", says UK Sport chief executive Sally Munday.",https://www.bbc.co.uk/sport/olympics/65099356,"Climate change is threatening high-performance sport's existence, says UK Sport chief executive Sally Munday.The government agency has a new sustainability strategy, called Team of Tomorrow.The aim is to get British Olympic and Paralympic sport to have a net positive impact on the environment by 2040.Every governing body has been told to have a sustainability action plan in place by 2025.The Premier League's domestic flights dilemma"
25,25.0,25.0,"Paris Agreement on climate change adopted by Isle of ManThe extension of the treaty on climate change is ""hugely significant"", the chief minister says.",https://www.bbc.co.uk/news/world-europe-isle-of-man-65092187,"The extension of an international climate treaty to the Isle of Man is a ""hugely significant milestone"", the chief minister has said."
26,26.0,26.0,Climate change: Derry council praised in UK-wide reportThe report spotlights Derry and Strabane's outreach work in dealing with climate hazards like flooding.,https://www.bbc.co.uk/news/uk-northern-ireland-65091655,The community outreach work of Derry City and Strabane District Council has been praised in a report on climate action across the UK.
27,27.0,27.0,Global News Podcast: Does failure to address climate change violate human rights?The European Court of Human Rights hears a case brought against the Swiss Government,https://www.bbc.co.uk/programmes/p0fcn884,"
The European Court of Human Rights hears a case brought against the Swiss Government over lack of action on climate change. Also, hundreds of people ask for a pause in the development of Artificial Intelligence, and young British men told to stay away from Amsterdam.
"
28,28.0,28.0,Newshour: Swiss women say climate change is violating their human rightsEuropean Court of Human Rights is hearing such a case for the first time,https://www.bbc.co.uk/programmes/w172z09b4pklzp0,"
European Court of Human Rights is hearing such a case for the first time.

Show more

"
29,29.0,29.0,"Climate change: UK risks losing investment in net-zero race, MPs warnSome Tories are among those who fear jobs could move elsewhere if the government is not ambitious enough.",https://www.bbc.co.uk/news/uk-politics-65110764,"The UK is at risk of losing jobs and investment in the ""net-zero race"", senior cross-party MPs have warned."
30,30.0,30.0,Football & climate: Which EFL clubs are the most sustainable?Which EFL clubs are doing the most work to become more sustainable? BBC Sport explores.,https://www.bbc.co.uk/sport/football/65085346,"Ten years ago we were a lone voice with a radical idea, today it's fast becoming normal.League One Forest Green Rovers - labelled the 'greenest' football club in the world - were always likely to come top of a list of the English Football League's most sustainable clubs.But owner and chairman Dale Vince says a new table ranking the top 20 EFL clubs on their climate-friendly activities off the pitch shows real progress among the rest of the English football pyramid.Vince said: It's great to see the extent to which sustainability in football has become a thing, almost but not yet - an accepted part of the game"
31,31.0,31.0,Just Stop Oil: Climate change pair on trial over bridge protestTwo men deny causing a public nuisance after protesters scaled the Dartford Crossing bridge in 2022.,https://www.bbc.co.uk/news/uk-england-essex-65102021,"Two protesters caused ""gridlock for miles around"" after they scaled the Dartford Crossing bridge and police closed it to traffic, a trial heard."
32,32.0,32.0,Climate change: trees grow for extra month as planet warms - studyScientists compared recent tree growth with detailed notes from a 19th Century Ohio farmer,https://www.bbc.co.uk/news/science-environment-65037659,"Global warming is changing the way trees grow, new research suggests."
33,33.0,33.0,Climategate RevisitedChris Vallance explores the long-term results of the hacking of climate scientists' emails,https://www.bbc.co.uk/programmes/b01nl8gm,"
Chris Vallance explores the long-term results of the hacking of climate scientists' emails on public opinion, media reporting and international climate change policy.

Show more

"
34,34.0,34.0,Global Climate DebateThe BBC hosts a high-level global climate debate.,https://www.bbc.co.uk/programmes/m0011j38,"
Four leading political figures come together to take questions from young people in the studio and around the world on the challenges presented by climate change.

Show more

"
35,35.0,35.0,Global Climate DebateThe BBC hosts a high level Global Climate Debate.,https://www.bbc.co.uk/programmes/m0011m7h,"
Four leading political figures come together to take questions from young people in the studio and around the world on the challenges presented by climate change.

Show more

"
36,36.0,36.0,Climate Change by NumbersA look at three key numbers that clarify the important questions on climate change.,https://www.bbc.co.uk/programmes/p02jsdrk,"
A look at three key numbers that clarify the important questions on climate change, giving a unique perspective on what we know about the past, present and future of our climate.

Show more

"
37,37.0,37.0,Global Climate DebateGlobal figures take questions from young people a on the challenges of by climate change.,https://www.bbc.co.uk/programmes/w13xtvmk,"The BBC will host an ambitious, high-level Global Climate Debate on Monday 1 November, the opening day of the climate summit. Four leading global political figures will come together to take questions from young people in the studio and around the world on the challenges presented by climate change, and the hopes for global solutions to be achieved at the COP climate change meeting."
38,38.0,38.0,The Great Climate Change HijackCould climate change be diverting attention away from other environmental problems?,https://www.bbc.co.uk/programmes/b00m721x,"
Richard Black investigates if climate change is diverting attention away from other environmental problems such as air pollution, acid oceans and species extinction.

Show more

"
39,39.0,39.0,Climate Change: Britain Under ThreatKate Humble and Matt Allwright join David Attenborough to investigate climate change.,https://www.bbc.co.uk/programmes/b007ck1z,"
David Attenborough, Kate Humble and Matt Allwright investigate how climate change could threaten the UK, revealing the results of an experiment to predict 21st century weather.

Show more

"
0,,,Jofra Archer: England paceman 'to go straight into Ashes' after IPL spell,https://www.bbc.co.uk/sport/cricket/65119214,“That's the nature of international franchise cricket these days. I know there'll be a lot of people saying 'he should play at least two four-day games to be ready for a Test match”
1,,,Carl Frampton column: Anthony Joshua needs to knock out Jermaine Franklin then call out Tyson Fury,https://www.bbc.co.uk/sport/boxing/65105633,"Joshua (left) lost to Oleksandr Usyk in August, the Briton's third defeat in his past five fightsAnthony Joshua v Jermaine FranklinVenue: O2 Arena, London Date: Saturday, 1 AprilCoverage: Radio commentary on BBC Radio 5 Live from 22:00 BST; live text coverage on the BBC Sport website & app.Boxing analyst and former two-weight world champion Carl Frampton writes for BBC Sport about Briton Anthony Joshua's fight against Jermaine Franklin at London's O2 Arena on Saturday.Former world champion Joshua makes his return after losing his rematch with Ukraine's Oleksandr Usyk in August. Can Joshua go back to winning ways or will American Franklin cause a huge upset? Anthony Joshua has to not only beat Jermaine Franklin at the O2 Arena on Saturday, he has to win in style. A points win is not good enough. I want to see him get rid of Franklin early, stand in the ring and call out Tyson Fury. Fury-Joshua is still huge. A massive fight not just for British boxing but also on a global stage. A loss, and I think that's the end for Joshua. Where does he go from there? But I don't think that will happen. This is a fight where Joshua can get the confidence back a bit. After consecutive losses to Oleksandr Usyk, that's what the big man desperately needs.5 Live Boxing: Who is Jermaine Franklin?Now is the 'worst time' to fight me - Joshua5 Live Boxing: Analysing Joshua's last fightThe perfect comeback opponent for JoshuaBehind the scenes at Joshua's Texas training campThis is the perfect type of fight for Joshua to come back to - an opponent who is credible enough. I actually thought Franklin beat Dillian Whyte in his last fight, although he didn't get the decision.But in terms of a heavyweight boxer, he's got 22 fights with 14 knockouts. It's a nice ratio for a featherweight, but not necessarily for a heavyweight. Linking up with Derrick James and basing his training camp in Texas is a good move for Joshua, and perhaps one he should have done before now. Get away from the UK and from home comforts - have that camp mentality and not so many yes men around you.Joshua is also in a gym full of good champions, with the Charlo brothers, Jermell and Jermall, and Errol Spence Jr. It's probably the first time in AJ's career he's not been the top dog in the gym. He's got world champions there and it'll be good for him. He can feed off that.If you look at the style of the Charlos and Spence, they're quite aggressive fighters. That's the coaching style that Derrick James has and that's what we need to see from AJ again. AJ can turn back the clockWe want him to go back to the old AJ that we used to know. I'm not saying it was brute force and ignorance, but it was close to that. He's a big, big man and he just went and took people out. Dominated fights from the centre of the ring, going forward and being aggressive. AJ's not a boxer. He's not fleet-footed, he's a wrecking machine and he needs to get back to that.Can he turn back the clock? It's not going to be easy, but it's definitely possible. We've seen fighters suffer defeats in the heavyweight division that they weren't expected to lose and come back. Wladimir Klitschko - look how long he dominated the division after being knocked out by lesser opponents in Ross Puritty and Corrie Sanders. Even the great Lennox Lewis lost to Hasim Rahman and came back in the next fight. Fury and AJ can win back fansFury needs to fight me to redeem himself - JoshuaThe Fury-Usyk undisputed fight falling through could actually work out favourably for JoshuaFury's in a position now where a lot of people are blaming him for that fight not happening. A few months ago he was being lauded and is now facing a lot of criticism because of the antics and things he said around the proposed Usyk fight, and even previous to that. Imagine if Fury now faces another Dillian Whyte or Derek Chisora-type opponent, nobody want's to see that. I'm not saying a win against Franklin will automatically set up the Fury fight, but I would love to see a stern, clear call-out - 'I want Tyson Fury next'.Fury might also be in a position now where he feels like he has to take that fight. He may feel AJ is an easier fight than the Usyk fight, which quite possibly it is. I think it could all work in AJ's favour. It could also be a chance for both Britons to get people back on side as well.A loss will leave AJ with regrets Joshua being pushed to 'breaking point' in rebuildWe all saw Joshua's outburst in the ring after his loss to Usyk in Saudi Arabia last year. I'd say as soon as he did it he would have regretted it. He understands it wasn't a good look for him. But the amount of pressure that has been on that man's shoulders was insane. It's been there from the very start, from turning professional as an Olympic champion. People have their own opinion on Joshua but I have to say every time I've been around him he's always been so nice. I was doing a podcast and was in New York for the first Joshua v Andy Ruiz fight. There was press everywhere trying to get him. I approached the stage where I was hoping to get a few words with him and he pointed at me out of maybe 30 press that were around and told me to come round. He spoke to me for about 10 minutes, probably to the annoyance of the other press there. But that is something I will always appreciate. He's a great guy. He's someone who has taken criticism but when you are this superstar, people do like to see you knocked off the top perch.There's a different type of pressure on him now in that his career is over if he can't beat Franklin. A loss will leave him with many regrets. He will be thinking about those big fights - against the likes of Fury or Deontay Wilder - which never happened. Carl Frampton was talking to BBC Sport's boxing reporter Kal SajadWho is Lord Sugar's newest business partner? Watch the nail-biting final of The ApprenticeIs paying more for premium petrol worth it? Greg Foot drives the investigation into the fumy world of petrol"
2,,,Roy Hodgson: Crystal Palace manager says he has 'never felt old enough to retire',https://www.bbc.co.uk/sport/football/65125290,"Perhaps my wife was glad to see the back of me - HodgsonCrystal Palace manager Roy Hodgson says he has ""never felt old enough to retire"" as he prepares to return to the dugout on Saturday.The 75-year-old is already the Premier League's oldest manager from his spell at Watford last year.He will take charge of Palace against Leicester on Saturday, having being reappointed for the rest of the season.""I know my birth certificate tells me I am [old enough to retire] but the way I feel doesn't tell me that,"" he said.Hodgson, whose previous spell at Palace ended after the 2020-21 season, last managed at Watford between January and May 2022, leaving the side after they were relegated.The former England and Fulham boss said at the time he did not expect another job but stressed he had not formally retired.""I had accepted that I had retired because that is what everyone has been saying,"" he said.""If I walked down the street, people would say to me 'are you enjoying your retirement?' but at the same time, I have never felt old enough to retire. ""There has always been an opening there for project such as this one.""Oldest Premier League managersManagerAgeRoy Hodgson 75 years, 235 days*Sir Bobby Robson71 years, 192 daysSir Alex Ferguson71 years, 139 days Neil Warnock70 years, 162 daysClaudio Ranieri70 years, 93 days *age on Saturday, 1 AprilPalace are 12th in the Premier League but have not won this year - a run of form which led to the sacking of Patrick Vieira earlier in March.The London club are only three points above the relegation zone but Hodgson said there have been no discussions with the club's hierarchy about continuing next season, should he succeed in the rest of this campaign.""Who knows, there might be another one that comes up but I don't actively seek them,"" Hodgson said. ""No-one is out there on my behalf looking for these things. ""On both occasions [at Crystal Palace and Watford] it has come my way and I have had the choice.""Get Eagles news notificationsListen to the latest The Far Post podcastOur coverage of Crystal Palace is bigger and better than ever before - here's everything you need to know to make sure you never miss a momentEverything Palace - go straight to all the best content"
3,,,"Premier League clubs avoided Â£250m in tax, expert estimate",https://www.bbc.co.uk/news/uk-65097761,"Premier League clubs avoided Â£250m in tax, expert estimatePublished13 hours agoShareclose panelShare pageCopy linkAbout sharingImage source, Getty ImagesBy Ben Chu and Mike CowanBBC NewsnightPremier League football clubs may have avoided paying Â£250m in tax over a three-year period, financial experts have estimated.It follows analysis looking at how football agents are often paid to represent both players and clubs in negotiations, including transfers.Tax Policy Associates, which led the analysis, says the practice reduces the amount of tax paid on agent payments.HM Revenue and Customs said it was investigating ""a number of clubs"".We do not know which clubs are being investigated, but the teams thought to have benefitted most from dual representation in the past few years include Manchester City, Manchester United, Arsenal and Chelsea. The clubs all declined to comment.Dual representationWhen footballers move clubs or negotiate a new contract, an agent represents the player involved and seeks the best terms for his or her client.The agent will then receive a fee, or commission, and the whole transaction will incur tax, including income tax, National Insurance and VAT.However, tax officials are investigating the use of so-called ""dual representation contracts"", which sees an agent paid for acting for both the player and the club involved in the deal.The process is complicated - but when half of the agent's fee is paid by the club, it means that half of the payment avoids tax.The Tax Policy Associates think tank has estimated the practice is potentially worth tens of millions of pounds a year.If the agent's fee is picked up solely by the player, it says HMRC can expect to receive around 60% of the total payment in tax.However, the amount of tax due falls to about 30% of the payment, if the fee is split between the player and the club using dual representation. Use of the practice has become standard in the sport, with some top flight clubs using it in all of their deals. In 2021, FA data revealed around 68% of Premier League player deals were done through dual representation.Image source, Getty ImagesTax Policy Associates estimates the practice may have saved top players, their agents and their acquiring clubs Â£81m in 2019, Â£91m in 2020 and Â£81m in 2021 - more than Â£250m over the three years.In 2021, Tax Policy Associates estimates Manchester City saved Â£10.9m in tax, followed by Manchester United with Â£10m and Liverpool with Â£8.1m. In 2020, the largest beneficiary was Chelsea, saving Â£12.8m.All its estimates are based on the assumption that player and club split the agent fee 50:50. In theory, the FA has rules against an agent acting for both the player and the club. But if all parties provide written consent to use dual representation, the practice is technically allowed. However, Labour MP Meg Hillier, chair of Parliament's Public Accounts Committee, said she will urge HMRC to look into the Premier League's use of dual representation.  ""Guidance that's a bit weak isn't really good enough,"" she said. ""You need to have a real clarity about exactly what the position is so that every club does the same thing. You can't have one club doing it and getting away with it and another not.""Â£7.6bn economy boostIn April 2021, HMRC issued fresh guidance on the use of dual representation which said it would need clubs to keep evidence that agents are legitimately working for both sides of the contract. It said fees should not automatically be split 50:50, and should instead reflect the extent the agent represented the club and the player.HMRC could issue penalties and demands for repayments if it finds that an agent has not legitimately been working for both the player and the club when brokering transfer deals.But the Association of Football Agents (AFA) said it disputed the think tank's findings, saying there was a ""fundamental misunderstanding of how the football transfer market works"". It said: ""The AFA's members will continue to work closely with HMRC to ensure that the law and current guidance is followed in the structuring of arrangements with tax consequences, as they always have.""An HMRC spokesperson added: ""Dual representation cannot be assumed to be a tax avoidance scheme; its use can be tax compliant. ""However, we carefully scrutinise arrangements between clubs and employees, and we work closely with the football industry to educate and deal with tax risk head on. ""Our actions and the money bought in from this industry speak for themselves. Since 2015, from across all tax areas in the football industry, we've recovered Â£573m that would otherwise have gone unpaid.""BBC Newsnight approached individual clubs, but each declined to comment. A Premier League spokesperson said: ""We believe that the overall figure suggested here is based on assumptions that do not recognise the individual circumstances of each transaction. ""During the 2019/2020 season Premier League football contributed Â£7.6bn to the UK economy. In the same season the Premier League and its clubs generated a total tax contribution of Â£3.6bn to the UK Exchequer, Â£1.4bn of which was accounted for by Premier League players.""Related TopicsTax avoidanceHM Revenue & Customs"
4,,,Sean Dyche: Everton manager not distracted by probe into club's alleged financial breach,https://www.bbc.co.uk/sport/football/65127483,"Everton have won three Premier League games sine Dyche was appointedEverton manager Sean Dyche says he will not be distracted by the investigation into the club over alleged financial irregularities.The Toffees have been referred to an independent commission for an alleged breach of financial fair play rules, before Dyche took charge in January.Everton have denied wrongdoing and will ""robustly defend"" their position.""I'm more focused on what's going on on the pitch, quite obviously,"" said Dyche, who replaced Frank Lampard.Everton, who face Tottenham on Monday, are 15th in the Premier League - two points above the relegation zone.""There is no situation at the moment,"" added Dyche. ""The club's statement covers everything. I'm happy to go along with that.""The Premier League did not reveal the specifics of Everton's alleged breach when it was announced last week, other than to say it occurred in the period ending with the 2021-22 season.However, the club has posted financial losses in several recent seasons.Can Everton ever be great again?""The club have assured me the statement is correct and the rest of it will come down to the powers that be to do what they have to do,"" said Dyche.""At the minute we are really focusing on what is going on now. Of course there are background views on the future but I'm working with the squad now, working to get more points and to make sure we get what we all want, which is to be in the Premier League.""Latest Everton news, analysis and fan viewsGet Blues news notificationsDyche added there was still no timescale for the return of striker Dominic Calvert-Lewin, who has been out since 4 February with a hamstring injury.""He hasn't trained with the group but he's back on the grass so he's making progress, which is good,"" said the Everton boss.""He did have that tiny niggle in a slightly different area but he's making very good progress, so we are happy with that at the moment.""Our coverage of Everton is bigger and better than ever before - here's everything you need to know to make sure you never miss a momentEverything Everton - go straight to all the best content"
5,,,Women's World Cup 2023: Herve Renard appointed France head coach after leaving Saudi Arabia post,https://www.bbc.co.uk/sport/football/65130904,"Herve Renard's previous roles include leading the Zambia, Ivory Coast, Morocco and Saudi Arabia men's national teamsHerve Renard has been confirmed as the new France women's head coach until 2024 following his resignation from Saudi Arabia's men's team.The Frenchman replaces Corinne Diacre, sacked on 9 March after several players said they would no longer represent the country under her leadership.Renard, 54, requested his contract with the Saudi Arabian Football Federation (SAFF) be terminated on Tuesday.The Women's World Cup will take place from 20 July to 20 August.Renard has won the Africa Cup of Nations as head coach with both Zambia and Ivory Coast, becoming the first person to lead different countries to the AFCON title. He took charge of Saudi Arabia in July 2019 and guided them to their second successive World Cup finals, where they shocked eventual champions Argentina in a 2-1 win in Qatar last year.Renard has never managed a women's team and takes charge of a France side ranked fifth in the world.They are seeking to win their first World Cup this summer and the French Football Federation (FFF) will now hope for a return of the players who boycotted the national team under Diacre.France captain Wendie Renard said last month she will not play at the World Cup and criticised her country's football ""system"".The Lyon centre-back was joined in doing so by team-mates Kadidiatou Diani and Marie-Antoinette Katoto, with forward Diani saying the management of the team was the reason behind her decision. In announcing Diacre's exit, the FFF said the situation had become ""irreversible"".SAFF president Yasser Al-Misehal confirmed earlier this week: ""[Renard] has an offer from the French Federation and expressed his desire to take this opportunity.""We were informed four days before the current international window and I received a letter from the French Federation, and consulted with the board of directors and we decided to accept this request.""Following Saudi Arabia's 2-1 friendly loss to Bolivia on Tuesday, Renard said: ""I would like to thank everybody in Saudi for their support during almost four years. ""I think I did the maximum with the team. I can't reach another level so I prefer to be honest with everybody. Thank you again, it was a fantastic time.""Renard will announce his first squad for France's upcoming April friendlies against Colombia and Canada during his presentation on Friday.Who is Lord Sugar's newest business partner?: Watch the nail-biting final of The ApprenticeIs paying more for premium petrol worth it?: Greg Foot drives the investigation into the fumy world of petrol"
